price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
6050000,2018-02-19,20:00:21,59.8058084,30.376141,78,1,8,10,3,82.6,10.8,1
8650000,2018-02-27,12:04:54,55.683807,37.297405,50,3,5,24,2,69.1,12.0,1
4000000,2018-02-28,15:44:00,56.29525,44.061637,52,1,5,9,3,66.0,10.0,1
1850000,2018-03-01,11:24:52,44.996132,39.074783,23,4,12,16,2,38.0,5.0,11
5450000,2018-03-01,17:42:43,55.918767,37.984642,50,3,13,14,2,60.0,10.0,1
3300000,2018-03-02,21:18:42,55.908253,37.726448,50,1,4,5,1,32.0,6.0,1
4704280,2018-03-04,12:35:25,55.6210965,37.4310016,77,2,1,25,1,31.7,6.0,11
3600000,2018-03-04,20:52:38,59.8755262,30.3954571,78,1,2,5,1,31.1,6.0,1
3390000,2018-03-05,07:07:05,53.1950306,50.1069518,63,2,4,24,2,64.0,13.0,11
2800000,2018-03-06,09:57:10,55.7369718,38.8464565,50,1,9,10,2,55.0,8.0,1
6909880,2018-03-06,18:34:48,55.9139498,37.7077118,50,1,9,14,3,76.1,8.8,11
4291950,2018-03-06,18:37:27,55.9139498,37.7077118,503,1,10,14,1,40.3,11.0,11
6675840,2018-03-06,18:37:28,55.9139498,37.7077118,50,1,25,25,3,73.2,12.4,11
6522650,2018-03-06,18:37:35,55.9139498,37.7077118,50,1,5,14,3,68.3,12.1,11
6522650,2018-03-06,18:37:40,55.9139498,37.7077118,50,1,7,14,3,68.3,12.1,11
4279770,2018-03-06,18:40:08,55.7817155,37.8566559,50,2,7,15,1,36.3,16.6,11
4550000,2018-03-12,12:37:08,55.738846,49.225437,16,3,6,10,2,54.2,11.4,1
2880000,2018-03-15,14:38:45,55.7349712,52.3663848,16,1,8,10,2,51.0,8.0,1
1450000,2018-03-16,14:51:58,45.069785,41.935019,26,1,9,10,1,43.0,9.0,1
1650000,2018-03-16,16:21:54,44.9943012,41.1228103,23,3,5,5,2,51.0,7.0,1
8000000,2018-03-17,06:46:32,55.738876,37.82537,77,1,5,9,2,45.0,6.0,1
2250000,2018-03-17,09:05:06,54.8155661,56.12556,2,1,2,5,2,46.0,6.0,1
